Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Morbyrlanga,"163,323","165,839","165,028","165,789","167,825","172,840","177,191","185,806","194,035","200,839","206,934","210,864","214,184","221,198","225,281","229,273","232,434","235,920","242,111","242,627","242,702","247,336","254,025","258,395","266,770","271,976","276,360"
Hultsfred,"160,204","163,620","160,260","159,571","161,611","167,228","171,461","178,737","187,082","190,150","194,185","198,050","202,688","205,613","210,219","211,850","214,378","214,121","216,112","214,585","216,173","217,701","222,190","223,887","229,569","232,213","238,767"
Monsteras,"169,987","172,633","169,002","169,254","173,019","180,417","183,817","192,742","200,679","206,742","211,088","215,228","218,720","223,639","226,378","230,099","233,799","239,287","241,169","237,867","237,870","240,491","244,585","248,011","256,650","261,716","266,734"
Emmaboda,"163,465","166,948","164,101","165,868","167,932","174,332","181,162","188,724","198,430","203,567","204,842","209,833","212,766","216,669","217,854","224,029","225,692","227,523","231,098","226,625","227,662","228,143","233,234","235,962","242,848","245,749","252,053"
Kalmar,"175,941","179,289","175,359","174,429","175,381","180,734","183,436","191,416","199,460","204,416","208,779","212,876","215,826","219,797","222,829","227,676","231,825","233,772","239,616","238,299","237,795","242,843","252,042","256,944","266,172","274,274","279,528"
Nybro,"164,032","168,335","166,220","167,119","170,128","175,404","179,883","187,701","195,581","199,425","202,600","205,352","208,718","210,721","214,548","218,523","221,238","221,973","223,412","218,437","218,079","221,990","227,839","231,192","236,406","240,578","245,039"
Oskarshamn,"174,382","179,012","176,419","178,650","182,173","188,792","193,171","200,705","209,328","214,633","218,229","223,472","227,107","234,245","237,341","240,305","246,143","250,673","256,138","253,638","253,893","258,167","266,976","273,424","281,710","287,758","293,491"
Vastervik,"167,009","170,692","167,545","167,478","169,730","174,808","179,520","187,785","194,941","198,994","201,330","205,474","210,348","215,334","216,811","217,842","220,993","223,921","228,269","225,972","226,073","230,369","234,656","238,106","244,501","249,843","254,144"
Vimmerby,"164,599","166,809","164,234","165,050","167,242","173,078","177,057","185,989","193,229","200,475","204,331","208,652","212,381","217,529","220,047","224,879","228,388","230,704","233,915","231,975","232,876","236,201","241,433","248,106","256,066","261,290","266,151"
Borgholm,"137,237","140,741","140,128","141,419","143,463","145,493","151,553","160,448","167,617","172,496","175,876","181,761","187,753","191,525","196,008","198,383","203,032","202,846","207,498","209,508","207,968","211,227","217,188","217,518","227,222","232,398","239,358"
GOTLANDS LAN,"160,063","163,343","161,850","162,667","164,229","169,025","173,066","180,723","187,437","192,947","196,359","199,648","202,842","206,958","209,643","213,697","216,498","217,947","223,674","221,773","219,785","224,132","230,284","233,855","242,452","248,302","252,725"
Gotland,"160,063","163,343","161,850","162,667","164,229","169,025","173,066","180,723","187,437","192,947","196,359","199,648","202,842","206,958","209,643","213,697","216,498","217,947","223,674","221,773","219,785","224,132","230,284","233,855","242,452","248,302","252,725"
BLEKINGE LAN,"171,830","175,822","173,108","173,373","174,889","179,451","183,410","190,876","198,612","204,186","207,355","211,962","215,764","219,955","223,792","227,145","229,852","231,238","234,082","230,680","229,234","234,724","240,367","243,714","249,749","256,859","262,549"
Olofstrom,"179,060","183,587","181,187","180,141","182,006","185,066","189,846","197,238","206,950","211,483","212,360","216,520","218,985","222,064","225,712","228,592","232,840","232,975","230,822","224,201","225,451","228,432","233,758","234,645","242,740","250,937","258,813"
Karlskrona,"171,121","175,545","173,505","173,481","175,204","180,918","184,373","191,692","199,949","206,554","210,805","215,313","218,598","222,198","226,791","230,886","233,588","234,906","238,844","235,524","233,050","240,196","246,817","251,432","257,493","264,477","270,534"
Ronneby,"169,561","173,188","169,929","169,518","170,313","174,027","178,094","185,385","191,003","196,203","199,344","204,006","209,473","215,786","218,648","221,984","223,525","224,816","226,451","223,659","223,987","228,631","233,561","235,842","239,172","245,144","249,858"
Karlshamn,"175,232","178,734","175,889","177,101","179,133","182,533","186,573","194,961","202,187","206,725","208,684","212,484","216,593","220,172","224,007","227,419","230,234","232,861","236,524","233,080","230,390","234,911","239,200","242,663","248,345","257,403","262,036"
Solvesborg,"166,017","169,583","165,823","167,430","169,583","174,117","180,106","188,016","194,868","200,898","201,938","208,438","212,931","217,357","220,271","222,195","224,348","226,081","228,641","225,986","224,843","229,852","236,831","239,894","248,208","255,091","260,206"
